scenario,controller,vmax,lookahead,trial,seed,outcome,steps,path_length,min_clearance,avg_speed,max_speed,time_to_goal_s,safety_violation_magnitude,qp_feasibility_rate,tts_rate,fallback_count,avg_solve_ms,max_solve_ms
A,mtmpc,1.0,0.4,0,42,success,234,4.5475,0.1674,0.9328,1.1667,4.875,0.0,0.9957,0.7479,0,107.11,154.53
B,apf,0.5,0.1,0,42,timeout,2501,10.5426,0.3701,0.2023,0.361,,0.0,,,0,,
B,apf,0.5,0.1,1,43,timeout,2501,10.4728,0.3695,0.201,0.3373,,0.0,,,0,,
B,apf,0.5,0.1,2,44,timeout,2501,10.5014,0.3682,0.2015,0.3458,,0.0,,,0,,
B,apf,0.5,0.25,0,42,success,753,8.7065,0.2549,0.555,0.8222,15.688,0.0,,,0,,
B,apf,0.5,0.25,1,43,success,660,7.7905,0.2653,0.5666,0.8408,13.75,0.0,,,0,,
B,apf,0.5,0.25,2,44,success,754,8.6823,0.2705,0.5527,0.8354,15.708,0.0,,,0,,
B,apf,0.5,0.4,0,42,collision,309,5.3976,0.0441,0.8385,1.882,,0.0059,,,0,,
B,apf,0.5,0.4,1,43,success,601,10.7846,0.1625,0.8613,1.4051,12.521,0.0,,,0,,
B,apf,0.5,0.4,2,44,timeout,2501,44.0013,0.1267,0.8445,1.5142,,0.0,,,0,,
B,apf,0.5,0.6,0,42,collision,140,3.2571,0.0469,1.1167,1.8966,,0.0031,,,0,,
B,apf,0.5,0.6,1,43,collision,141,3.4746,0.048,1.1828,2.0998,,0.002,,,0,,
B,apf,0.5,0.6,2,44,success,364,10.1881,0.0528,1.3435,2.3679,7.583,0.0,,,0,,
B,apf,1.0,0.1,0,42,timeout,2501,10.5426,0.3701,0.2023,0.361,,0.0,,,0,,
B,apf,1.0,0.1,1,43,timeout,2501,10.4728,0.3695,0.201,0.3373,,0.0,,,0,,
B,apf,1.0,0.1,2,44,timeout,2501,10.5014,0.3682,0.2015,0.3458,,0.0,,,0,,
B,apf,1.0,0.25,0,42,success,753,8.7065,0.2549,0.555,0.8222,15.688,0.0,,,0,,
B,apf,1.0,0.25,1,43,success,660,7.7905,0.2653,0.5666,0.8408,13.75,0.0,,,0,,
B,apf,1.0,0.25,2,44,success,754,8.6823,0.2705,0.5527,0.8354,15.708,0.0,,,0,,
B,apf,1.0,0.4,0,42,collision,309,5.3976,0.0441,0.8385,1.882,,0.0059,,,0,,
B,apf,1.0,0.4,1,43,success,601,10.7846,0.1625,0.8613,1.4051,12.521,0.0,,,0,,
B,apf,1.0,0.4,2,44,timeout,2501,44.0013,0.1267,0.8445,1.5142,,0.0,,,0,,
B,apf,1.0,0.6,0,42,collision,140,3.2571,0.0469,1.1167,1.8966,,0.0031,,,0,,
B,apf,1.0,0.6,1,43,collision,141,3.4746,0.048,1.1828,2.0998,,0.002,,,0,,
B,apf,1.0,0.6,2,44,success,364,10.1881,0.0528,1.3435,2.3679,7.583,0.0,,,0,,
B,cbf,0.5,0.1,0,42,timeout,2501,11.7232,0.0817,0.225,0.396,,0.0,0.9996,,0,,
B,cbf,0.5,0.1,1,43,timeout,2501,11.9451,0.1018,0.2293,0.2899,,0.0,0.9996,,0,,
B,cbf,0.5,0.1,2,44,timeout,2501,11.7116,0.0845,0.2248,0.3817,,0.0,0.9996,,0,,
B,cbf,0.5,0.25,0,42,timeout,2501,27.1896,0.0607,0.5218,0.898,,0.0,0.9996,,0,,
B,cbf,0.5,0.25,1,43,timeout,2501,27.541,0.0614,0.5286,0.9188,,0.0,0.9996,,0,,
B,cbf,0.5,0.25,2,44,collision,973,11.8202,0.0414,0.5831,3.5266,,0.0086,0.999,,0,,
B,cbf,0.5,0.4,0,42,collision,337,5.6666,0.0465,0.8071,1.4918,,0.0035,0.997,,0,,
B,cbf,0.5,0.4,1,43,collision,197,3.5718,0.0371,0.8703,1.2896,,0.0129,0.9949,,0,,
B,cbf,0.5,0.4,2,44,collision,191,3.5068,0.0431,0.8813,1.1669,,0.0069,0.9948,,0,,
B,cbf,0.5,0.6,0,42,collision,187,4.2942,0.0481,1.1022,1.8413,,0.0019,0.9465,,0,,
B,cbf,0.5,0.6,1,43,collision,190,4.4685,0.0478,1.1289,2.7735,,0.0022,0.9947,,0,,
B,cbf,0.5,0.6,2,44,collision,160,3.744,0.0469,1.1232,1.6022,,0.0031,0.8938,,0,,
B,cbf,1.0,0.1,0,42,timeout,2501,11.9905,0.0917,0.2301,0.3023,,0.0,0.9996,,0,,
B,cbf,1.0,0.1,1,43,timeout,2501,11.9994,0.0973,0.2303,0.3035,,0.0,0.9996,,0,,
